#################################
(sequential binary merge, max_mem=47000654)
# elapsed time (mergesort_seq): 67.3966s
# elapsed time (mergesort_seq): 67.6597s
#################################
(sequential kway merge, max_mem=47000654)
# elapsed time (mergesort_seq): 67.6354s
# elapsed time (mergesort_seq): 65.1573s
#################################
(nthreads=2, max_mem=47000654)
# elapsed time (mergesort_omp): 41.62s
# elapsed time (mergesort_ff_no_mapping): 70.3321s
# elapsed time (mergesort_ff): 71.0086s
# elapsed time (mergesort_ff_no_mapping_blocking): 71.8882s
# elapsed time (mergesort_omp): 40.9273s
# elapsed time (mergesort_ff_no_mapping): 69.4483s
# elapsed time (mergesort_ff): 72.0761s
# elapsed time (mergesort_ff_no_mapping_blocking): 70.1851s
#################################
(nthreads=4, max_mem=47000654)
# elapsed time (mergesort_omp): 28.3225s
# elapsed time (mergesort_ff_no_mapping): 28.5519s
# elapsed time (mergesort_ff): 29.4196s
# elapsed time (mergesort_ff_no_mapping_blocking): 32.4692s
# elapsed time (mergesort_omp): 29.4205s
# elapsed time (mergesort_ff_no_mapping): 30.1264s
# elapsed time (mergesort_ff): 30.1169s
# elapsed time (mergesort_ff_no_mapping_blocking): 31.3275s
#################################
(nthreads=8, max_mem=47000654)
# elapsed time (mergesort_omp): 20.3206s
# elapsed time (mergesort_ff_no_mapping): 17.8304s
# elapsed time (mergesort_ff): 16.9893s
# elapsed time (mergesort_ff_no_mapping_blocking): 18.9127s
# elapsed time (mergesort_omp): 21.9717s
# elapsed time (mergesort_ff_no_mapping): 17.4133s
# elapsed time (mergesort_ff): 16.794s
# elapsed time (mergesort_ff_no_mapping_blocking): 17.2296s
#################################
(nthreads=12, max_mem=47000654)
# elapsed time (mergesort_omp): 15.8963s
# elapsed time (mergesort_ff_no_mapping): 18.7139s
# elapsed time (mergesort_ff): 19.5667s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.086s
# elapsed time (mergesort_omp): 16.1389s
# elapsed time (mergesort_ff_no_mapping): 18.3681s
# elapsed time (mergesort_ff): 20.1172s
# elapsed time (mergesort_ff_no_mapping_blocking): 18.8154s
#################################
(nthreads=16, max_mem=47000654)
# elapsed time (mergesort_omp): 18.5916s
# elapsed time (mergesort_ff_no_mapping): 17.4258s
# elapsed time (mergesort_ff): 18.5602s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.4875s
# elapsed time (mergesort_omp): 19.065s
# elapsed time (mergesort_ff_no_mapping): 17.6185s
# elapsed time (mergesort_ff): 20.7812s
# elapsed time (mergesort_ff_no_mapping_blocking): 18.7636s
#################################
(nthreads=20, max_mem=47000654)
# elapsed time (mergesort_omp): 19.6569s
# elapsed time (mergesort_ff_no_mapping): 20.0895s
# elapsed time (mergesort_ff): 26.1116s
# elapsed time (mergesort_ff_no_mapping_blocking): 20.334s
# elapsed time (mergesort_omp): 13.7969s
# elapsed time (mergesort_ff_no_mapping): 25.4641s
# elapsed time (mergesort_ff): 26.9835s
# elapsed time (mergesort_ff_no_mapping_blocking): 18.6576s
#################################
(nthreads=24, max_mem=47000654)
# elapsed time (mergesort_omp): 14.3657s
# elapsed time (mergesort_ff_no_mapping): 18.8036s
# elapsed time (mergesort_ff): 25.0315s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.0196s
# elapsed time (mergesort_omp): 14.4042s
# elapsed time (mergesort_ff_no_mapping): 18.354s
# elapsed time (mergesort_ff): 26.0827s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.7906s
#################################
(nthreads=28, max_mem=47000654)
# elapsed time (mergesort_omp): 16.1181s
# elapsed time (mergesort_ff_no_mapping): 21.1204s
# elapsed time (mergesort_ff): 26.1502s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.1509s
# elapsed time (mergesort_omp): 14.6221s
# elapsed time (mergesort_ff_no_mapping): 24.4147s
# elapsed time (mergesort_ff): 27.1273s
# elapsed time (mergesort_ff_no_mapping_blocking): 20.1517s
#################################
(nthreads=32, max_mem=47000654)
# elapsed time (mergesort_omp): 18.5458s
# elapsed time (mergesort_ff_no_mapping): 25.4536s
# elapsed time (mergesort_ff): 30.1912s
# elapsed time (mergesort_ff_no_mapping_blocking): 19.445s
# elapsed time (mergesort_omp): 18.049s
# elapsed time (mergesort_ff_no_mapping): 26.2726s
# elapsed time (mergesort_ff): 27.2973s
# elapsed time (mergesort_ff_no_mapping_blocking): 20.1348s
#################################
