
#################################
(sequential binary merge, max_mem=59498806)
# elapsed time (mergesort_seq): 77.5633s
# elapsed time (mergesort_seq): 77.2235s
#################################
(sequential kway merge, max_mem=59498806)
# elapsed time (mergesort_seq): 47.4875s
# elapsed time (mergesort_seq): 52.5161s
#################################
(nthreads=2, max_mem=59498806)
# elapsed time (mergesort_omp): 40.4594s
# elapsed time (mergesort_ff_no_mapping): 46.0191s
# elapsed time (mergesort_ff): 49.6082s
# elapsed time (mergesort_omp): 35.1922s
# elapsed time (mergesort_ff_no_mapping): 54.9388s
# elapsed time (mergesort_ff): 57.2184s
#################################
(nthreads=4, max_mem=59498806)
# elapsed time (mergesort_omp): 34.6052s
# elapsed time (mergesort_ff_no_mapping): 62.8555s
# elapsed time (mergesort_ff): 51.413s
# elapsed time (mergesort_omp): 32.3039s
# elapsed time (mergesort_ff_no_mapping): 36.2315s
# elapsed time (mergesort_ff): 34.7673s
#################################
(nthreads=8, max_mem=59498806)
# elapsed time (mergesort_omp): 35.7296s
# elapsed time (mergesort_ff_no_mapping): 32.9597s
# elapsed time (mergesort_ff): 32.1213s
# elapsed time (mergesort_omp): 33.3321s
# elapsed time (mergesort_ff_no_mapping): 36.714s
# elapsed time (mergesort_ff): 30.4614s
#################################
(nthreads=12, max_mem=59498806)
# elapsed time (mergesort_omp): 32.4621s
# elapsed time (mergesort_ff_no_mapping): 37.6074s
# elapsed time (mergesort_ff): 34.8679s
# elapsed time (mergesort_omp): 33.0903s
# elapsed time (mergesort_ff_no_mapping): 36.8516s
# elapsed time (mergesort_ff): 26.7428s
#################################
(nthreads=16, max_mem=59498806)
# elapsed time (mergesort_omp): 33.3503s
# elapsed time (mergesort_ff_no_mapping): 33.4099s
# elapsed time (mergesort_ff): 36.7558s
# elapsed time (mergesort_omp): 32.5488s
# elapsed time (mergesort_ff_no_mapping): 35.7902s
# elapsed time (mergesort_ff): 36.1767s
#################################
(nthreads=20, max_mem=59498806)
# elapsed time (mergesort_omp): 57.2379s
# elapsed time (mergesort_ff_no_mapping): 34.8971s
# elapsed time (mergesort_ff): 30.6751s
# elapsed time (mergesort_omp): 32.5275s
# elapsed time (mergesort_ff_no_mapping): 37.4155s
# elapsed time (mergesort_ff): 34.655s
#################################
(nthreads=24, max_mem=59498806)
# elapsed time (mergesort_omp): 37.6069s
# elapsed time (mergesort_ff_no_mapping): 29.4083s
# elapsed time (mergesort_ff): 55.6517s
# elapsed time (mergesort_omp): 59.6306s
# elapsed time (mergesort_ff_no_mapping): 34.4456s
# elapsed time (mergesort_ff): 34.055s
#################################
(nthreads=28, max_mem=59498806)
# elapsed time (mergesort_omp): 25.2319s
# elapsed time (mergesort_ff_no_mapping): 30.242s
# elapsed time (mergesort_ff): 36.6242s
# elapsed time (mergesort_omp): 46.2209s
# elapsed time (mergesort_ff_no_mapping): 32.0901s
# elapsed time (mergesort_ff): 33.5706s
#################################
(nthreads=32, max_mem=59498806)
# elapsed time (mergesort_omp): 38.3495s
# elapsed time (mergesort_ff_no_mapping): 30.5154s
# elapsed time (mergesort_ff): 29.4119s
# elapsed time (mergesort_omp): 27.5605s
# elapsed time (mergesort_ff_no_mapping): 33.4398s
# elapsed time (mergesort_ff): 33.2936s
#################################
