
#################################
(sequential binary merge, max_mem=79175884)
# elapsed time (mergesort_seq): 23.4144s
# elapsed time (mergesort_seq): 23.1288s
# elapsed time (mergesort_seq): 23.4593s
#################################
(sequential kway merge, max_mem=79175884)
# elapsed time (mergesort_seq): 20.1951s
# elapsed time (mergesort_seq): 20.2575s
# elapsed time (mergesort_seq): 20.1169s
#################################
(nthreads=2, max_mem=79175884)
# elapsed time (mergesort_omp): 14.4223s
# elapsed time (mergesort_ff): 14.6084s
# elapsed time (mergesort_omp): 13.7282s
# elapsed time (mergesort_ff): 14.0196s
# elapsed time (mergesort_omp): 14.1704s
# elapsed time (mergesort_ff): 14.0382s
#################################
(nthreads=4, max_mem=79175884)
# elapsed time (mergesort_omp): 11.551s
# elapsed time (mergesort_ff): 11.7039s
# elapsed time (mergesort_omp): 11.496s
# elapsed time (mergesort_ff): 12.4544s
# elapsed time (mergesort_omp): 11.6348s
# elapsed time (mergesort_ff): 12.1793s
#################################
(nthreads=6, max_mem=79175884)
# elapsed time (mergesort_omp): 12.9696s
# elapsed time (mergesort_ff): 13.0317s
# elapsed time (mergesort_omp): 12.3734s
# elapsed time (mergesort_ff): 12.6731s
# elapsed time (mergesort_omp): 13.0919s
# elapsed time (mergesort_ff): 13.0381s
#################################
(nthreads=8, max_mem=79175884)
# elapsed time (mergesort_omp): 12.8085s
# elapsed time (mergesort_ff): 13.4543s
# elapsed time (mergesort_omp): 12.8603s
# elapsed time (mergesort_ff): 12.836s
# elapsed time (mergesort_omp): 13.0379s
# elapsed time (mergesort_ff): 12.8224s
#################################
(nthreads=14, max_mem=79175884)
# elapsed time (mergesort_omp): 15.7891s
# elapsed time (mergesort_ff): 16.9984s
# elapsed time (mergesort_omp): 16.3322s
# elapsed time (mergesort_ff): 17.1193s
# elapsed time (mergesort_omp): 16.5061s
# elapsed time (mergesort_ff): 16.3295s
#################################
(nthreads=16, max_mem=79175884)
# elapsed time (mergesort_omp): 17.3869s
# elapsed time (mergesort_ff): 17.3996s
# elapsed time (mergesort_omp): 17.8416s
# elapsed time (mergesort_ff): 17.1853s
# elapsed time (mergesort_omp): 16.8918s
# elapsed time (mergesort_ff): 17.1555s
#################################
(nthreads=20, max_mem=79175884)
# elapsed time (mergesort_omp): 18.8439s
# elapsed time (mergesort_ff): 20.3524s
# elapsed time (mergesort_omp): 18.5389s
# elapsed time (mergesort_ff): 21.9344s
# elapsed time (mergesort_omp): 19.6118s
# elapsed time (mergesort_ff): 21.2978s
#################################
(nthreads=26, max_mem=79175884)
# elapsed time (mergesort_omp): 22.1991s
# elapsed time (mergesort_ff): 23.3998s
# elapsed time (mergesort_omp): 21.818s
# elapsed time (mergesort_ff): 23.4769s
# elapsed time (mergesort_omp): 21.9567s
# elapsed time (mergesort_ff): 23.8744s
#################################
(nthreads=32, max_mem=79175884)
# elapsed time (mergesort_omp): 23.3145s
# elapsed time (mergesort_ff): 25.0648s
# elapsed time (mergesort_omp): 24.1729s
# elapsed time (mergesort_ff): 24.865s
# elapsed time (mergesort_omp): 23.7013s
# elapsed time (mergesort_ff): 25.1694s
#################################
