
#################################
(sequential binary merge, max_mem=1584280)
#################################
(sequential kway merge, max_mem=1584280)
#################################
(nthreads=2, max_mem=1584280)
#################################
(nthreads=4, max_mem=1584280)
#################################
(nthreads=6, max_mem=1584280)
#################################
(nthreads=8, max_mem=1584280)
#################################
(nthreads=14, max_mem=1584280)
#################################
(nthreads=16, max_mem=1584280)
#################################
(nthreads=20, max_mem=1584280)
#################################
(nthreads=26, max_mem=1584280)
#################################
(nthreads=32, max_mem=1584280)
#################################
